"id","title","source","category","location","featured","symbols"
"gallery:hx-effectiveness-ntu","Heat Exchanger (Effectiveness-NTU)","gallery","Heat Transfer","web/src/examples.ts#hx-effectiveness-ntu","true","hx_effectiveness;lmtd;max;min"
"gallery:cubic-eos-properties","Cubic-EOS Real-Gas Properties","gallery","Thermodynamics","web/src/examples.ts#cubic-eos-properties","false","eos_density;eos_enthalpy;eos_psat;eos_volume;eos_z"
"gallery:engine-cycle-wiebe","Engine Cycle (Wiebe Heat Release)","gallery","Powertrain","web/src/examples.ts#engine-cycle-wiebe","true","cos;maxvalue;odevalue;sin;sqrt;wiebe_rate;Engine"
"gallery:adiabatic-flame-temp","Adiabatic Flame Temperature","gallery","Thermodynamics","web/src/examples.ts#adiabatic-flame-temp","true","adiabaticflametemp"
"gallery:ev-battery-cooling-pid","EV Battery Cooling with Closed-Loop EXV Control","gallery","Systems","web/src/examples.ts#ev-battery-cooling-pid","true","finalvalue;odevalue;tanh;enthalpy;BatteryPack;Chiller;CurrentSource;EXV;EXVCmd;Ground;LiquidSink;LiquidSource;LiquidWallHX;SigConstant;SigPID;SigThermalProbe;TwoPhasePressureSink"
"help-cycle:ideal-rankine","Power Cycles: Ideal Rankine Steam Power Cycle","help-cycle","Help cycles","web/src/helpExamples.ts#ideal-rankine","false","enthalpy;entropy;volume"
"help-cycle:reheat-rankine","Power Cycles: Reheat Rankine Cycle with Moisture Limit","help-cycle","Help cycles","web/src/helpExamples.ts#reheat-rankine","false","enthalpy;entropy;volume"
"help-cycle:reheat-regen-rankine","Power Cycles: Ideal Reheat-Regenerative Rankine Cycle, English Units","help-cycle","Help cycles","web/src/helpExamples.ts#reheat-regen-rankine","false","enthalpy;entropy;volume"
"help-cycle:cogeneration-plant","Power Cycles: Cogeneration Plant with Regeneration","help-cycle","Help cycles","web/src/helpExamples.ts#cogeneration-plant","false","enthalpy;entropy;volume"
"help-cycle:binary-geothermal","Power Cycles: Binary Geothermal Plant with Isobutane","help-cycle","Help cycles","web/src/helpExamples.ts#binary-geothermal","false",""
"help-cycle:brayton-irreversible","Gas Turbines: Simple Brayton Cycle with Irreversibilities","help-cycle","Help cycles","web/src/helpExamples.ts#brayton-irreversible","false",""
"help-cycle:brayton-cold-air-standard","Gas Turbines: Simple Brayton Cycle, Cold-Air-Standard","help-cycle","Help cycles","web/src/helpExamples.ts#brayton-cold-air-standard","false",""
"help-cycle:auto-gas-turbine","Gas Turbines: Automotive Gas Turbine with Regenerator","help-cycle","Help cycles","web/src/helpExamples.ts#auto-gas-turbine","false",""
"help-cycle:brayton-regen-variable-cp","Gas Turbines: Brayton Cycle with Regeneration and Variable Specific Heats","help-cycle","Help cycles","web/src/helpExamples.ts#brayton-regen-variable-cp","false","enthalpy;entropy;temperature"
"help-cycle:combined-cycle","Energy Systems: Combined Brayton–Rankine Cycle through an HRSG","help-cycle","Help cycles","web/src/helpExamples.ts#combined-cycle","false","enthalpy;entropy;volume"
"help-cycle:cd-nozzle-shock","Aerospace: Supersonic Nozzle with a Normal Shock at the Exit","help-cycle","Help cycles","web/src/helpExamples.ts#cd-nozzle-shock","false","sqrt"
"help-cycle:co2-nozzle-throat","Compressible Flow: CO₂ Nozzle Throat Velocity","help-cycle","Help cycles","web/src/helpExamples.ts#co2-nozzle-throat","false","sqrt;cp;cv"
"help-cycle:orbit-kepler","Aerospace: Orbital Position from Kepler's Equation","help-cycle","Help cycles","web/src/helpExamples.ts#orbit-kepler","false","arctan;cos;sin;sqrt;tan"
"help-cycle:pipe-network","Fluid Mechanics: Parallel Pipe Network with Colebrook Friction","help-cycle","Help cycles","web/src/helpExamples.ts#pipe-network","false","log10;sqrt"
"help-cycle:open-channel-jump","Water Resources: Manning Flow, Critical Depth & Hydraulic Jump","help-cycle","Help cycles","web/src/helpExamples.ts#open-channel-jump","false","sqrt"
"help-cycle:pelton-turbine","Turbomachinery: Pelton Wheel (Impulse Turbine) Design","help-cycle","Help cycles","web/src/helpExamples.ts#pelton-turbine","false","cos;sqrt"
"help-cycle:ev-longitudinal","Vehicle Dynamics: EV Longitudinal Road-Load, Power & Range","help-cycle","Help cycles","web/src/helpExamples.ts#ev-longitudinal","false","cos;sin"
"help-cycle:ev-lateral","Vehicle Dynamics: Lateral Bicycle Model & Understeer Gradient","help-cycle","Help cycles","web/src/helpExamples.ts#ev-lateral","false","sqrt"
"help-cycle:ev-sizing","EV Powertrain: Motor & Battery Sizing (acceleration, gradeability, range)","help-cycle","Help cycles","web/src/helpExamples.ts#ev-sizing","false","cos;max;sin"
"help-cycle:ev-battery-pack","EV Powertrain: Battery Pack Design & Cell Selection (Batemo database)","help-cycle","Help cycles","web/src/helpExamples.ts#ev-battery-pack","false",""
"help-cycle:ev-regen","Vehicle Dynamics: Regenerative Braking Energy Recovery","help-cycle","Help cycles","web/src/helpExamples.ts#ev-regen","false",""
"help-cycle:ev-drive-cycle","Vehicle Dynamics: Combined Drive-Cycle Consumption & Range","help-cycle","Help cycles","web/src/helpExamples.ts#ev-drive-cycle","false",""
"help-cycle:fcev-sizing","EV Powertrain: Hydrogen Fuel-Cell Vehicle (FCEV) Sizing & Range","help-cycle","Help cycles","web/src/helpExamples.ts#fcev-sizing","false",""
"help-cycle:ev-fast-charge","EV Powertrain: DC Fast Charging Time, C-rate & Grid Energy","help-cycle","Help cycles","web/src/helpExamples.ts#ev-fast-charge","false",""
"help-cycle:hev-power-split","EV Powertrain: Parallel Hybrid (HEV) Power Split","help-cycle","Help cycles","web/src/helpExamples.ts#hev-power-split","false",""
"help-cycle:cell-to-pack-density","EV Powertrain: Cell-to-Pack Mass & Gravimetric Energy Density","help-cycle","Help cycles","web/src/helpExamples.ts#cell-to-pack-density","false",""
"help-cycle:truss-stiffness","Structural Analysis: Plane Truss by the Direct Stiffness Method","help-cycle","Help cycles","web/src/helpExamples.ts#truss-stiffness","false","SolveLinear"
"help-cycle:radiation-enclosure","Heat Transfer: 3-Surface Radiation Enclosure with a Reradiating Wall","help-cycle","Help cycles","web/src/helpExamples.ts#radiation-enclosure","false",""
"help-cycle:auto-cooling-loop","Thermal/Automotive: Radiator + Pump + Fan Cooling Loop (EG50 coolant)","help-cycle","Help cycles","web/src/helpExamples.ts#auto-cooling-loop","false","min;cp;density;FanCurve"
"help-cycle:load-flow","Power Systems: Two-Bus AC Power Flow (Newton–Raphson Load Flow)","help-cycle","Help cycles","web/src/helpExamples.ts#load-flow","false","cos;sin"
"help-cycle:reforming-equilibrium","Chemical Engineering: Coupled Reforming + Water-Gas-Shift Equilibrium","help-cycle","Help cycles","web/src/helpExamples.ts#reforming-equilibrium","false",""
"help-cycle:pid-pole-placement","Control Systems: PID Design by Pole Placement","help-cycle","Help cycles","web/src/helpExamples.ts#pid-pole-placement","false","exp;sqrt"
"help-cycle:partial-fraction-real","Control Systems: Partial-Fraction Expansion (Real Poles)","help-cycle","Help cycles","web/src/helpExamples.ts#partial-fraction-real","false","tf"
"help-cycle:partial-fraction-complex","Control Systems: Partial Fractions with a Complex Pole Pair","help-cycle","Help cycles","web/src/helpExamples.ts#partial-fraction-complex","false","tf"
"help-cycle:tf-to-ss","Control Systems: Transfer Function to State Space","help-cycle","Help cycles","web/src/helpExamples.ts#tf-to-ss","false","tf2ss"
"help-cycle:ss-to-tf","Control Systems: State Space to Transfer Function","help-cycle","Help cycles","web/src/helpExamples.ts#ss-to-tf","false","ss2tf"
"help-cycle:first-order-poles-zeros","Control Systems: Poles & Zeros of a First-Order System","help-cycle","Help cycles","web/src/helpExamples.ts#first-order-poles-zeros","false","pole;tf2zp;zero"
"help-cycle:underdamped-poles","Control Systems: Complex Poles of an Underdamped System","help-cycle","Help cycles","web/src/helpExamples.ts#underdamped-poles","false","pole"
"help-cycle:thirdorder-poles-zeros","Control Systems: Poles & Zeros of a Third-Order System","help-cycle","Help cycles","web/src/helpExamples.ts#thirdorder-poles-zeros","false","pole;zero"
"help-cycle:zpk-feedback","Control Systems: Zero-Pole-Gain to TF and Unity Feedback","help-cycle","Help cycles","web/src/helpExamples.ts#zpk-feedback","false","feedback;pole;zp2tf"
"help-cycle:parallel-interconnect","Control Systems: Parallel Interconnection of Blocks","help-cycle","Help cycles","web/src/helpExamples.ts#parallel-interconnect","false","parallel"
"help-cycle:second-order-step","Control Systems: Second-Order Step Response & Metrics","help-cycle","Help cycles","web/src/helpExamples.ts#second-order-step","false","exp;sqrt;step"
"help-cycle:impulse-response","Control Systems: Impulse & Step Response","help-cycle","Help cycles","web/src/helpExamples.ts#impulse-response","false","impulse;step"
"help-cycle:forced-response-lsim","Control Systems: Forced Response to an Arbitrary Input (lsim)","help-cycle","Help cycles","web/src/helpExamples.ts#forced-response-lsim","false","lsim"
"help-cycle:bode-response","Control Systems: Bode Frequency Response","help-cycle","Help cycles","web/src/helpExamples.ts#bode-response","false","bode;log10"
"help-cycle:gain-phase-margin","Control Systems: Gain & Phase Margins","help-cycle","Help cycles","web/src/helpExamples.ts#gain-phase-margin","false","bode;margin;series"
"help-cycle:nyquist-stability","Control Systems: Nyquist Diagram & Stability","help-cycle","Help cycles","web/src/helpExamples.ts#nyquist-stability","false","margin;nyquist"
"help-cycle:closed-loop-position-servo","Control Systems: Closed-Loop Position Servo (series + feedback)","help-cycle","Help cycles","web/src/helpExamples.ts#closed-loop-position-servo","false","feedback;series;step;pole"
"help-cycle:pid-auto-tune","Control Systems: PID Auto-Tuning by Loop Shaping","help-cycle","Help cycles","web/src/helpExamples.ts#pid-auto-tune","false","margin;pidtune;series"
"help-cycle:pole-placement","Control Systems: Pole Placement by State Feedback","help-cycle","Help cycles","web/src/helpExamples.ts#pole-placement","false","place;pole"
"help-cycle:lqr-regulator","Control Systems: LQR Optimal State-Feedback Regulator","help-cycle","Help cycles","web/src/helpExamples.ts#lqr-regulator","false","lqr;pole"
"help-cycle:control-analysis-report","Control Systems: End-to-End Analysis Report","help-cycle","Help cycles","web/src/helpExamples.ts#control-analysis-report","false","bode;margin;nyquist;step;pole;zero"
"help-cycle:inhour-equation","Nuclear Engineering: Stable Reactor Period from the Inhour Equation","help-cycle","Help cycles","web/src/helpExamples.ts#inhour-equation","false","sum"
"help-cycle:paris-fatigue","Materials Engineering: Fatigue Life by Integrating the Paris Law","help-cycle","Help cycles","web/src/helpExamples.ts#paris-fatigue","false","integral;sqrt"
"help-cycle:ammonia-refrigeration","HVAC & Refrigeration: Ammonia Refrigeration Cycle COP","help-cycle","Help cycles","web/src/helpExamples.ts#ammonia-refrigeration","false",""
"help-cycle:face-bypass-control","HVAC & Refrigeration: Face and Bypass Control Load","help-cycle","Help cycles","web/src/helpExamples.ts#face-bypass-control","false","enthalpy"
"help-cycle:solar-heat-gain","HVAC & Refrigeration: Solar Heat Gain Through Windows","help-cycle","Help cycles","web/src/helpExamples.ts#solar-heat-gain","false",""
"help-cycle:enthalpy-wheel","HVAC & Refrigeration: Enthalpy Wheel Heat Recovery","help-cycle","Help cycles","web/src/helpExamples.ts#enthalpy-wheel","false",""
"help-cycle:run-around-cycle","HVAC & Refrigeration: Run-Around Water Cycle Balance","help-cycle","Help cycles","web/src/helpExamples.ts#run-around-cycle","false",""
"help-cycle:latent-heat-freezing","HVAC & Refrigeration: Specific Heat of Freezing","help-cycle","Help cycles","web/src/helpExamples.ts#latent-heat-freezing","false",""
"help-cycle:psychrometric-balancing","HVAC & Refrigeration: Psychrometric Room Balancing","help-cycle","Help cycles","web/src/helpExamples.ts#psychrometric-balancing","false","enthalpy;wetbulb"
"help-cycle:pumping-friction-head","HVAC & Refrigeration: Pumping and Friction Head","help-cycle","Help cycles","web/src/helpExamples.ts#pumping-friction-head","false",""
"help-cycle:air-supply-wetbulb","HVAC & Refrigeration: Air Supply Wet-Bulb Determination","help-cycle","Help cycles","web/src/helpExamples.ts#air-supply-wetbulb","false","enthalpy;wetbulb"
"help-cycle:multistage-food-freezing","HVAC & Refrigeration: Multi-Stage Food Freezing","help-cycle","Help cycles","web/src/helpExamples.ts#multistage-food-freezing","false",""
"help-cycle:siyavula-correlation","Statistics: Linear Correlation (Siyavula Grade 12 Table & Curve Fit)","help-cycle","Help cycles","web/src/helpExamples.ts#siyavula-correlation","false",""
"help-cycle:ode-decay","Differential Equations (ODE): Radioactive Decay — ode1 (Euler)","help-cycle","Help cycles","web/src/helpExamples.ts#ode-decay","false",""
"help-cycle:ode-rc","Differential Equations (ODE): RC Circuit Charging — ode2 (Heun)","help-cycle","Help cycles","web/src/helpExamples.ts#ode-rc","false",""
"help-cycle:ode-reaction","Differential Equations (ODE): First-Order Reaction A→B — ode3","help-cycle","Help cycles","web/src/helpExamples.ts#ode-reaction","false",""
"help-cycle:ode-rl","Differential Equations (ODE): RL Circuit Decay — ode4 (RK4)","help-cycle","Help cycles","web/src/helpExamples.ts#ode-rl","false",""
"help-cycle:ode-cooling","Differential Equations (ODE): Newton Cooling — ode5","help-cycle","Help cycles","web/src/helpExamples.ts#ode-cooling","false",""
"help-cycle:ode-parachutist","Differential Equations (ODE): Falling Parachutist (linear drag) — ode45","help-cycle","Help cycles","web/src/helpExamples.ts#ode-parachutist","false",""
"help-cycle:ode-tank","Differential Equations (ODE): Draining Tank (Torricelli) — ode23","help-cycle","Help cycles","web/src/helpExamples.ts#ode-tank","false","sqrt"
"help-cycle:ode-logistic","Differential Equations (ODE): Logistic Population Growth — ode45","help-cycle","Help cycles","web/src/helpExamples.ts#ode-logistic","false",""
"help-cycle:ode-quadratic-drag","Differential Equations (ODE): Terminal Velocity (quadratic drag) — ode45","help-cycle","Help cycles","web/src/helpExamples.ts#ode-quadratic-drag","false",""
"help-cycle:ode-msd","Differential Equations (ODE): Mass-Spring-Damper (underdamped) — ode45","help-cycle","Help cycles","web/src/helpExamples.ts#ode-msd","false",""
"help-cycle:ode-shm","Differential Equations (ODE): Undamped Oscillator (energy check) — ode4","help-cycle","Help cycles","web/src/helpExamples.ts#ode-shm","false",""
"help-cycle:ode-pendulum","Differential Equations (ODE): Simple Pendulum (small angle) — ode5","help-cycle","Help cycles","web/src/helpExamples.ts#ode-pendulum","false",""
"help-cycle:ode-rlc","Differential Equations (ODE): Series RLC Circuit (underdamped) — ode23","help-cycle","Help cycles","web/src/helpExamples.ts#ode-rlc","false",""
"help-cycle:ode-lotka","Differential Equations (ODE): Lotka–Volterra Predator–Prey — ode45","help-cycle","Help cycles","web/src/helpExamples.ts#ode-lotka","false","ln"
"help-cycle:ode-tanks","Differential Equations (ODE): Coupled Mixing Tanks — ode23","help-cycle","Help cycles","web/src/helpExamples.ts#ode-tanks","false",""
"help-cycle:ode-orbit","Differential Equations (ODE): Two-Body Circular Orbit — ode45","help-cycle","Help cycles","web/src/helpExamples.ts#ode-orbit","false","sqrt"
"help-cycle:ode-stiff-linear","Differential Equations (ODE): Classic Stiff Linear ODE — ode15s","help-cycle","Help cycles","web/src/helpExamples.ts#ode-stiff-linear","false","exp"
"help-cycle:ode-vanderpol","Differential Equations (ODE): Van der Pol Oscillator (stiff) — ode23s","help-cycle","Help cycles","web/src/helpExamples.ts#ode-vanderpol","false",""
"help-cycle:ode-robertson","Differential Equations (ODE): Robertson Chemical Kinetics (stiff) — ode23s","help-cycle","Help cycles","web/src/helpExamples.ts#ode-robertson","false",""
"help-cycle:ode-chain","Differential Equations (ODE): Stiff Reaction Chain A→B→C — ode15s","help-cycle","Help cycles","web/src/helpExamples.ts#ode-chain","false",""
"default-boot","Default boot","boot","Onboarding","web/src/defaultExample.ts","false",""
"docs/advanced_solving.md:1","Definite integration","guide-fence","Guide snippet","web/src/docs/advanced_solving.md:7","false","integral"
"docs/advanced_solving.md:2","The ODE feedback pattern (scalar, first-order)","guide-run","Guide snippet","web/src/docs/advanced_solving.md:15","false","integral;sqrt"
"docs/advanced_solving.md:3","Transient / ODE Systems (DYNAMIC)","guide-fence","Guide snippet","web/src/docs/advanced_solving.md:33","false",""
"docs/advanced_solving.md:4","Coupled two-state example","guide-run","Guide snippet","web/src/docs/advanced_solving.md:67","false","finalvalue;odevalue"
"docs/advanced_solving.md:5","Parametric sweeps","guide-fence","Guide snippet","web/src/docs/advanced_solving.md:90","false",""
"docs/advanced_solving.md:6","Sweep example","guide-fence","Guide snippet","web/src/docs/advanced_solving.md:97","false","sin"
"docs/architecture_deployment.md:1","Headless CLI (`frees-cli`)","guide-fence","Guide snippet","web/src/docs/architecture_deployment.md:41","false",""
"docs/architecture_deployment.md:2","Building and Running","guide-fence","Guide snippet","web/src/docs/architecture_deployment.md:79","false",""
"docs/architecture_deployment.md:3","Production Build","guide-fence","Guide snippet","web/src/docs/architecture_deployment.md:114","false",""
"docs/components.md:1","Default authoring style","guide-fence","Guide snippet","web/src/docs/components.md:10","false","Pipe;Source"
"docs/components.md:2","Water through a pipe","guide-run","Guide snippet","web/src/docs/components.md:20","false","Pipe;Sink;Source"
"docs/components.md:3","Named outputs","guide-fence","Guide snippet","web/src/docs/components.md:46","false","Compressor"
"docs/components.md:4","Style 1 — connect statements","guide-fence","Guide snippet","web/src/docs/components.md:65","false",""
"docs/components.md:5","Mixing and closing a loop","guide-fence","Guide snippet","web/src/docs/components.md:77","false",""
"docs/components.md:6","Mixing and closing a loop","guide-fence","Guide snippet","web/src/docs/components.md:85","false",""
"docs/components.md:7","Style 2 — shared stream names (advanced)","guide-fence","Guide snippet","web/src/docs/components.md:96","false","Pipe;Sink;Source"
"docs/components.md:8","Boundary conditions","guide-fence","Guide snippet","web/src/docs/components.md:110","false",""
"docs/components.md:9","The signal domain: causal command wires","guide-fence","Guide snippet","web/src/docs/components.md:225","false","EXVCmd;SigSine;Valve"
"docs/components.md:10","Fidelity Variants (model$)","guide-fence","Guide snippet","web/src/docs/components.md:294","false","Compressor"
"docs/components.md:11","Writing Your Own Component","guide-run","Guide snippet","web/src/docs/components.md:318","false","temperature;Sink;Source"
"docs/components.md:12","Variants","guide-fence","Guide snippet","web/src/docs/components.md:352","false",""
"docs/components.md:13","Storage components carry the states","guide-fence","Guide snippet","web/src/docs/components.md:378","false","LiquidWallHX;MassGen"
"docs/components.md:14","Scheduling inputs over time","guide-fence","Guide snippet","web/src/docs/components.md:397","false","min"
"docs/components.md:15","From Plant to Controller (LINEARIZE)","guide-fence","Guide snippet","web/src/docs/components.md:416","false",""
"docs/components.md:16","From Plant to Controller (LINEARIZE)","guide-fence","Guide snippet","web/src/docs/components.md:429","false","bode;lqr;ss2tf"
"docs/components.md:17","Cycle overlays on property charts","guide-fence","Guide snippet","web/src/docs/components.md:450","false",""
"docs/diagrams_plots.md:1","XY plot (solved arrays)","guide-fence","Guide snippet","web/src/docs/diagrams_plots.md:7","false",""
"docs/diagrams_plots.md:2","Thermodynamic property plot","guide-fence","Guide snippet","web/src/docs/diagrams_plots.md:19","false",""
"docs/diagrams_plots.md:3","Control-system plot kinds","guide-fence","Guide snippet","web/src/docs/diagrams_plots.md:32","false",""
"docs/diagrams_plots.md:4","Control-system plot kinds","guide-fence","Guide snippet","web/src/docs/diagrams_plots.md:41","false",""
"docs/diagrams_plots.md:5","Control-system plot kinds","guide-fence","Guide snippet","web/src/docs/diagrams_plots.md:49","false",""
"docs/fluids_materials.md:1","Specifying a state","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:14","false","enthalpy;entropy;volume"
"docs/fluids_materials.md:2","Example","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:87","false","k_"
"docs/fluids_materials.md:3","Molar mass","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:104","false",""
"docs/fluids_materials.md:4","Combustion functions","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:115","false",""
"docs/fluids_materials.md:5","Radiation view factors","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:127","false","viewfactor_disks;viewfactor_perp"
"docs/fluids_materials.md:6","Transient conduction (Heisler charts)","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:139","false","heisler_q;heisler_temp"
"docs/fluids_materials.md:7","Worked example","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:177","false","enthalpy;dewpoint;humrat;wetbulb"
"docs/fluids_materials.md:8","Declaring a state table","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:197","false",""
"docs/fluids_materials.md:9","Two-circuit example","guide-fence","Guide snippet","web/src/docs/fluids_materials.md:209","false",""
"docs/getting_started.md:1","1. Your First Solve","guide-run","Guide snippet","web/src/docs/getting_started.md:15","false",""
"docs/getting_started.md:2","2. Thinking Declaratively","guide-fence","Guide snippet","web/src/docs/getting_started.md:44","false",""
"docs/getting_started.md:3","Annotate inputs; read SI results","guide-fence","Guide snippet","web/src/docs/getting_started.md:66","false",""
"docs/getting_started.md:4","4. See It: Tables & Plots","guide-run","Guide snippet","web/src/docs/getting_started.md:89","false",""
"docs/getting_started.md:5","5. Ask Questions: the REPL","guide-fence","Guide snippet","web/src/docs/getting_started.md:117","false","enthalpy"
"docs/getting_started.md:6","6. Wire Components","guide-run","Guide snippet","web/src/docs/getting_started.md:139","false","Pipe;Sink;Source"
"docs/getting_started.md:7","Expressions","guide-fence","Guide snippet","web/src/docs/getting_started.md:200","false","sqrt;enthalpy"
"docs/getting_started.md:8","Matrices, vectors, ranges","guide-fence","Guide snippet","web/src/docs/getting_started.md:211","false","transpose;Inverse;Dot"
"docs/getting_started.md:9","The CALL library (auto-sized outputs)","guide-fence","Guide snippet","web/src/docs/getting_started.md:220","false","bode;routh;Eigenvalues;residue"
