id,source,status,detail
gallery:engine-cycle-wiebe,gallery,success,
gallery:adiabatic-flame-temp,gallery,success,
gallery:ev-battery-cooling-pid,gallery,timeout,10-second per-document audit budget; not a solver correctness failure
help-cycle:ideal-rankine,help-cycle,success,
help-cycle:reheat-rankine,help-cycle,success,
help-cycle:reheat-regen-rankine,help-cycle,success,
help-cycle:cogeneration-plant,help-cycle,success,
help-cycle:binary-geothermal,help-cycle,success,
help-cycle:brayton-irreversible,help-cycle,success,
help-cycle:brayton-cold-air-standard,help-cycle,success,
help-cycle:auto-gas-turbine,help-cycle,success,
help-cycle:brayton-regen-variable-cp,help-cycle,success,
help-cycle:combined-cycle,help-cycle,success,
help-cycle:cd-nozzle-shock,help-cycle,rejected,"Block 10 (11 equations) failed: division by zero: 1 / 0
  M2 = sqrt((1+(g-1)/2*Me^2)/(g*Me^2-(g-1)/2))
  P2 = Pe*(1+g*Me^2)/(1+g*M2^2)
  T2 = Te*(1+(g-1)/2*Me^2)/(1+(g-1)/2*M2^2)
  P02 = P2*(1+(g-1)/2*M2^2)^(g/(g-1))
  Te = T0*(1+(g-1)/2*Me^2)^(-1)
  Pe = P0*(1+(g-1)/2*Me^2)^(-g/(g-1))
  A_ratio = (1/Me)*((2/(g+1))*(1+(g-1)/2*Me^2))^((g+1)/(2*(g-1)))
  A_ratio = 4.0
  T0 = 600 [K]
  P0 = 1000 [kPa]
  g = 1.4"
help-cycle:co2-nozzle-throat,help-cycle,success,
help-cycle:orbit-kepler,help-cycle,success,
help-cycle:pipe-network,help-cycle,success,
help-cycle:open-channel-jump,help-cycle,success,
help-cycle:pelton-turbine,help-cycle,success,
help-cycle:ev-longitudinal,help-cycle,success,
help-cycle:ev-lateral,help-cycle,success,
help-cycle:ev-sizing,help-cycle,success,
help-cycle:ev-battery-pack,help-cycle,success,
help-cycle:ev-regen,help-cycle,success,
help-cycle:ev-drive-cycle,help-cycle,success,
help-cycle:fcev-sizing,help-cycle,success,
help-cycle:ev-fast-charge,help-cycle,success,
help-cycle:hev-power-split,help-cycle,success,
help-cycle:cell-to-pack-density,help-cycle,success,
help-cycle:truss-stiffness,help-cycle,success,
help-cycle:radiation-enclosure,help-cycle,success,
help-cycle:auto-cooling-loop,help-cycle,success,
help-cycle:load-flow,help-cycle,success,
help-cycle:reforming-equilibrium,help-cycle,success,
help-cycle:pid-pole-placement,help-cycle,success,
help-cycle:partial-fraction-real,help-cycle,success,
help-cycle:partial-fraction-complex,help-cycle,success,
help-cycle:tf-to-ss,help-cycle,success,
help-cycle:ss-to-tf,help-cycle,success,
help-cycle:first-order-poles-zeros,help-cycle,success,
help-cycle:underdamped-poles,help-cycle,success,
help-cycle:thirdorder-poles-zeros,help-cycle,success,
help-cycle:zpk-feedback,help-cycle,success,
help-cycle:parallel-interconnect,help-cycle,success,
help-cycle:second-order-step,help-cycle,success,
help-cycle:impulse-response,help-cycle,success,
help-cycle:forced-response-lsim,help-cycle,rejected,"Syntax error: expected a number, found `OUTPUT`"
help-cycle:bode-response,help-cycle,success,
help-cycle:gain-phase-margin,help-cycle,success,
help-cycle:nyquist-stability,help-cycle,success,
help-cycle:closed-loop-position-servo,help-cycle,success,
help-cycle:pid-auto-tune,help-cycle,success,
help-cycle:pole-placement,help-cycle,success,
help-cycle:lqr-regulator,help-cycle,success,
help-cycle:control-analysis-report,help-cycle,success,
help-cycle:inhour-equation,help-cycle,success,
help-cycle:paris-fatigue,help-cycle,success,
help-cycle:ammonia-refrigeration,help-cycle,success,
help-cycle:face-bypass-control,help-cycle,success,
help-cycle:solar-heat-gain,help-cycle,success,
help-cycle:enthalpy-wheel,help-cycle,success,
help-cycle:run-around-cycle,help-cycle,success,
help-cycle:latent-heat-freezing,help-cycle,success,
help-cycle:psychrometric-balancing,help-cycle,success,
help-cycle:pumping-friction-head,help-cycle,success,
help-cycle:air-supply-wetbulb,help-cycle,success,
help-cycle:multistage-food-freezing,help-cycle,success,
help-cycle:siyavula-correlation,help-cycle,success,
help-cycle:ode-decay,help-cycle,success,
help-cycle:ode-rc,help-cycle,success,
help-cycle:ode-reaction,help-cycle,success,
help-cycle:ode-rl,help-cycle,success,
help-cycle:ode-cooling,help-cycle,success,
help-cycle:ode-parachutist,help-cycle,success,
help-cycle:ode-tank,help-cycle,success,
help-cycle:ode-logistic,help-cycle,success,
help-cycle:ode-quadratic-drag,help-cycle,success,
help-cycle:ode-msd,help-cycle,success,
help-cycle:ode-shm,help-cycle,success,
help-cycle:ode-pendulum,help-cycle,success,
help-cycle:ode-rlc,help-cycle,success,
help-cycle:ode-lotka,help-cycle,success,
help-cycle:ode-tanks,help-cycle,success,
help-cycle:ode-orbit,help-cycle,success,
help-cycle:ode-stiff-linear,help-cycle,success,
help-cycle:ode-vanderpol,help-cycle,success,
help-cycle:ode-robertson,help-cycle,success,
help-cycle:ode-chain,help-cycle,success,
default-boot,boot,success,
docs/advanced_solving.md:2,guide-run,success,
docs/advanced_solving.md:4,guide-run,success,
docs/components.md:2,guide-run,success,
docs/components.md:11,guide-run,success,
docs/getting_started.md:1,guide-run,success,
docs/getting_started.md:4,guide-run,success,
docs/getting_started.md:6,guide-run,success,
docs/journeys.md:1,guide-run,success,
docs/journeys.md:2,guide-run,success,
docs/tutorials.md:1,guide-run,success,
docs/tutorials.md:5,guide-run,success,
docs/tutorials.md:9,guide-run,success,
docs/tutorials.md:10,guide-run,success,
docs/tutorials.md:13,guide-run,success,
docs/tutorials.md:14,guide-run,success,
docs/tutorials.md:17,guide-run,success,
docs/tutorials.md:22,guide-run,success,
